date,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2023-04-06T00:00:00.000Z,85.8051883052,87.0014462283,85.5563666572,86.3602519815,5874515
2023-04-10T00:00:00.000Z,84.6137154139,85.202274312,82.7523380856,85.1927042486,12232876
2023-04-11T00:00:00.000Z,84.82904184,85.9774494462,84.6615657308,85.4032456431,11079168
2023-04-12T00:00:00.000Z,85.0874335514,85.6520672911,83.1255705576,83.135140621,11299106
2023-04-13T00:00:00.000Z,82.838468656,83.8576804065,82.2738349164,83.3074017619,7910506
2023-04-14T00:00:00.000Z,84.1687074665,84.5706501286,82.8193285293,83.4509527127,7656385
2023-04-17T00:00:00.000Z,83.9773061988,84.2644081003,83.4126724591,84.20698772,7558584
2023-04-18T00:00:00.000Z,84.4079590511,84.5993603188,83.7332695825,84.3505386708,8468232
2023-04-19T00:00:00.000Z,82.5226565644,83.6232138536,82.3408253601,83.4796629028,11191264
2023-04-20T00:00:00.000Z,84.5227998117,87.9263928544,84.3122584173,85.45109596,19206258
2023-04-21T00:00:00.000Z,84.006016389,84.130427213,81.6135005428,81.6996311133,13175396
2023-04-24T00:00:00.000Z,81.7283413034,82.264264853,80.3789623662,81.0010164862,10567552
2023-04-25T00:00:00.000Z,79.6899178026,79.8143286266,78.7233414007,78.7520515909,13423692
2023-04-26T00:00:00.000Z,78.704201274,78.8381821613,77.7184847453,78.7137713373,11260992
2023-04-27T00:00:00.000Z,79.3358254573,80.2545515422,78.6276407669,80.0727203379,10013661
2023-04-28T00:00:00.000Z,80.8478954721,80.8766056622,80.1218147631,80.6756343312,8262599
2023-05-01T00:00:00.000Z,80.6756343312,81.0488668031,80.2928317958,80.3693923029,4931139
2023-05-02T00:00:00.000Z,79.9100292604,80.4363827465,79.0008732389,79.3932458376,6874978
2023-05-03T00:00:00.000Z,79.0678636826,80.1588509084,78.8969423505,79.1444241896,7151630
2023-05-04T00:00:00.000Z,79.4315260912,80.1588509084,79.0870038093,79.900459197,7290557
2023-05-05T00:00:00.000Z,80.6756343312,81.891032381,80.1444958133,81.3168285779,6865003
2023-05-08T00:00:00.000Z,80.8670355988,81.8623221908,80.7809050284,81.8623221908,6746640
2023-05-09T00:00:00.000Z,81.5847903527,81.8049018105,80.6756343312,81.4029591484,7287804
2023-05-10T00:00:00.000Z,80.8766056622,81.4843046871,80.5512235072,81.2498381342,7442294
2023-05-11T00:00:00.000Z,80.522513317,80.522513317,78.9769480804,79.8430388167,8730884
2023-05-12T00:00:00.000Z,79.7951884998,80.3215419859,79.3788907426,79.8430388167,5069826
2023-05-15T00:00:00.000Z,79.7473381829,81.9867330148,79.6468525173,81.9771629514,8707286
2023-05-16T00:00:00.000Z,82.0058731416,83.0202998604,81.9101725078,82.1877043459,11286533
2023-05-17T00:00:00.000Z,84.5036596849,87.8531818695,84.2739781637,86.9727360381,23215574
2023-05-18T00:00:00.000Z,87.3268283834,89.384392011,87.1545672424,88.6666372572,14879044
2023-05-19T00:00:00.000Z,88.1689939612,88.7958331129,87.6235003483,88.5996468135,9295245
2023-05-22T00:00:00.000Z,88.1115735809,88.4656659261,87.2741930348,87.7766213624,9259822
2023-05-23T00:00:00.000Z,87.0875767988,87.4081739221,86.446382552,86.5516532492,7656686
2023-05-24T00:00:00.000Z,85.4415258966,86.2741214111,85.3458252628,86.2549812843,9443880
2023-05-25T00:00:00.000Z,92.8870352097,97.9687388669,92.8104747027,96.6097898663,60793166
2023-05-26T00:00:00.000Z,96.5140892325,99.9497419875,96.3992484719,98.7726241912,26135846
2023-05-30T00:00:00.000Z,99.3276878675,100.7153470583,97.1600685109,97.5955063949,25247959
2023-05-31T00:00:00.000Z,95.4422421334,95.681493718,93.8440415482,94.3512549076,21995480
2023-06-01T00:00:00.000Z,94.437385478,96.2652675845,94.360824971,94.5905064922,14998514
2023-06-02T00:00:00.000Z,96.8968917678,96.9447420848,94.3799650977,94.686207126,13085123
2023-06-05T00:00:00.000Z,93.7961912313,94.561796302,90.1954548829,93.8344714848,10568514
2023-06-06T00:00:00.000Z,93.4133886959,96.2748376479,93.2315574916,95.5283727039,13827603
2023-06-07T00:00:00.000Z,97.0213025918,98.5907929869,95.2604109291,95.9781656829,14367514
2023-06-08T00:00:00.000Z,94.734057443,96.3705382817,94.3847501294,95.6432134645,9081050
2023-06-09T00:00:00.000Z,98.2845509586,100.1794235087,97.8538981063,98.3802515924,14906100
2023-06-12T00:00:00.000Z,99.8540413536,102.7729106859,99.8253311635,102.4570985942,20578756
2023-06-13T00:00:00.000Z,105.2706972293,105.9310316028,102.1508565659,102.2082769462,17858602
2023-06-14T00:00:00.000Z,101.4713820656,103.0695826508,100.6962069315,102.7920508127,12862629
